trade_id,pattern_type,timeframe,direction,detection_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,r_multiple,mtf_score,confidence
66,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-13 00:00:00+00:00,270.73641599999996,210.71,450.81566399999986,2025-03-17 00:00:00+00:00,276.458656,timeout,24,137.33376000000135,10.510395187199999,126.82336481280134,0.08803302311435786,3,0.7868585329014944
67,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-18 00:00:00+00:00,270.936576,210.71,451.616304,2025-03-21 00:00:00+00:00,278.32716000000005,timeout,24,177.37401600000112,10.5501422592,166.82387374080113,0.11541407798444407,3,0.7868585329014944
68,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-21 00:00:00+00:00,270.99662399999994,210.71,451.85649599999977,2025-03-24 00:00:00+00:00,277.278,timeout,24,150.75302400000191,10.531135180799998,140.22188881920192,0.09691335014546654,3,0.7868585329014944
69,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-24 00:00:00+00:00,272.337696,210.71,457.220784,2025-03-27 00:00:00+00:00,281.56456800000007,timeout,24,221.4449280000017,10.639251763199999,210.8056762368017,0.14252633821001637,3,0.7868585329014944
70,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-27 00:00:00+00:00,265.212,210.71,428.71799999999996,2025-03-31 00:00:00+00:00,287.549776,timeout,28,625.4577280000005,12.387020799999998,613.0707072000006,0.4017353931965804,3,0.7868585329014944
71,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-03 00:00:00+00:00,266.81328,210.71,435.1231200000001,2025-04-03 00:00:00+00:00,286.87032000000005,timeout,27,541.5400800000008,11.964526848,529.5755531520008,0.34960361276559987,3,0.7868585329014944
72,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-06 00:00:00+00:00,268.534656,210.71,442.00862399999994,2025-04-07 00:00:00+00:00,274.58016000000003,timeout,26,157.18310400000132,11.3013608448,145.88174315520132,0.09703190063422172,3,0.7868585329014944
73,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-10 00:00:00+00:00,266.31288,210.71,433.12152000000003,2025-04-10 00:00:00+00:00,293.76480000000004,timeout,27,741.2018400000009,12.102758208,729.0990817920009,0.4856523564247038,3,0.7868585329014944
74,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-13 00:00:00+00:00,275.67035999999996,210.71,470.55143999999984,2025-04-14 00:00:00+00:00,295.99301600000007,timeout,23,467.4210880000025,10.522966623999999,456.8981213760025,0.30580396586472314,3,0.7868585329014944
75,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-17 00:00:00+00:00,276.901344,210.71,475.475376,2025-04-17 00:00:00+00:00,305.965032,timeout,23,668.4648240000004,10.729248729599998,657.7355752704003,0.4320383481683046,3,0.7868585329014944
76,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-20 00:00:00+00:00,281.10470399999997,210.71,492.2888159999999,2025-04-21 00:00:00+00:00,316.44664,timeout,19,671.4967840000006,9.0866315008,662.4101524992006,0.49526015816189883,3,0.7868585329014944
